Title: mars_mafic

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
150.00 1155.00 99.981524 0.8309667347493550 0.864150 256.193360 -1143585.347435 35.485406 -185.716718 2104.674293 136.015153 -10.824 -2.000 2.709346 3.505759 2.782 0 0.000
150.00 1150.00 99.980145 0.8234311134958008 0.858263 255.507166 -1144536.567620 35.457597 -185.216236 2089.861254 135.704802 -10.885 -2.000 2.705274 3.512655 2.845 0 0.000
150.00 1145.00 99.978729 0.8159535497389311 0.852437 254.821184 -1145483.377928 35.430042 -184.721517 2075.111803 135.399587 -10.945 -2.000 2.701089 3.519550 2.909 0 0.000
150.00 1140.00 99.975776 0.7884466389252167 0.826504 253.674838 -1147048.034671 35.360410 -180.759782 2035.389779 134.570079 -11.006 -2.000 2.697150 3.447521 2.975 0 0.000
150.00 1135.00 99.971546 0.7350819416104701 0.774527 251.985245 -1149348.945829 35.203719 -171.908124 1970.580937 133.151970 -11.067 -2.000 2.695176 3.336602 3.028 0 0.000
150.00 1130.00 99.967715 0.6753099521956495 0.715701 250.211151 -1151768.261090 34.991564 -161.417617 1907.023080 131.679671 -11.129 -2.000 2.695678 3.262794 3.059 0 0.000
150.00 1125.00 99.963902 0.6203698998731803 0.661165 248.536117 -1154040.374729 34.797124 -151.796600 1847.958239 130.330017 -11.192 -2.000 2.695507 3.218643 3.092 0 0.000
150.00 1120.00 99.960119 0.5696204809298696 0.610397 246.947505 -1156184.183536 34.617380 -142.928302 1792.895941 129.086373 -11.254 -2.000 2.694672 3.189786 3.129 0 0.000
150.00 1115.00 99.956382 0.5225489462354732 0.562964 245.435099 -1158215.028258 34.449969 -134.719384 1741.435200 127.935149 -11.318 -2.000 2.693195 3.169812 3.168 0 0.000
150.00 1110.00 99.952703 0.4787382074447493 0.518508 243.990480 -1160145.588491 34.293061 -127.093507 1693.234941 126.865142 -11.381 -2.000 2.691105 3.155407 3.211 0 0.000
150.00 1105.00 99.949094 0.4378512354213220 0.476731 242.606823 -1161986.215567 34.145282 -119.987620 1648.006939 125.867316 -11.445 -2.000 2.688444 3.144668 3.256 0 0.000
150.00 1100.00 99.945572 0.3996259221846757 0.437398 241.278950 -1163744.925980 34.005660 -113.350021 1605.523552 124.934842 -11.510 -2.000 2.685279 3.136410 3.304 0 0.000
150.00 1095.00 99.942141 0.3637321410164470 0.400192 239.961079 -1165485.198793 33.873003 -107.121572 1565.528481 124.488650 -11.575 -2.000 2.681689 3.129843 3.355 0 0.000
150.00 1090.00 99.938840 0.3301920606975377 0.365150 238.730223 -1167102.558197 33.747530 -101.288214 1528.042666 123.688984 -11.640 -2.000 2.677855 3.124437 3.407 0 0.000
150.00 1085.00 99.937537 0.2661083724097884 0.299630 236.718067 -1169815.162938 33.516343 -90.636673 1431.988367 122.085797 -11.706 -2.000 2.648170 3.124469 3.629 0 0.000
150.00 1080.00 99.936172 0.2117489130135301 0.242516 234.956985 -1172176.436275 33.314975 -81.242349 1354.634114 120.773340 -11.773 -2.000 2.619168 3.121581 3.852 0 0.000
150.00 1075.00 99.934820 0.1673314258590740 0.194491 233.462353 -1174169.272658 33.144839 -73.198685 1295.572639 119.746382 -11.840 -2.000 2.594054 3.116755 4.053 0 0.000
150.00 1070.00 99.933561 0.1296934859900055 0.152716 232.151452 -1175909.183633 32.995900 -66.085214 1248.523322 118.910269 -11.907 -2.000 2.572080 3.110962 4.238 0 0.000
150.00 1065.00 99.932428 0.0967596914238274 0.115269 230.970775 -1177470.393655 32.861487 -59.611266 1209.606045 118.205719 -11.975 -2.000 2.552702 3.104641 4.409 0 0.000
150.00 1060.00 99.931435 0.0670686019421290 0.080745 229.883580 -1178903.529546 32.736781 -53.559086 1176.267472 117.593237 -12.044 -2.000 2.535521 3.097990 4.569 0 0.000
150.00 1055.00 99.930584 0.0395200779148386 0.048042 228.863211 -1180245.052310 32.618009 -47.752748 1146.731800 117.045006 -12.113 -2.000 2.520239 3.091087 4.720 0 0.000
150.00 1050.00 99.929874 0.0132418738524478 0.016242 227.889490 -1181522.337516 32.502009 -42.042243 1119.715993 116.540585 -12.183 -2.000 2.506636 3.083952 4.864 0 0.000
150.00 1045.00 99.929411 0.0000000000000000 0.000000 227.183929 -1182445.623000 32.439772 -39.102560 1105.650074 116.261821 -12.253 -2.000 0.000000 3.080460 4.900 0 0.000
150.00 1040.00 99.929100 0.0000000000000000 0.000000 226.734063 -1183031.575650 32.433996 -39.102110 1103.896700 116.196783 -12.323 -2.000 0.000000 3.080999 4.900 0 0.000
150.00 1035.00 99.928791 0.0000000000000000 0.000000 226.282768 -1183617.178493 32.428225 -39.101641 1102.143401 116.131448 -12.394 -2.000 0.000000 3.081537 4.900 0 0.000
150.00 1030.00 99.928482 0.0000000000000000 0.000000 225.830034 -1184202.430718 32.422459 -39.101150 1100.390188 116.065811 -12.466 -2.000 0.000000 3.082076 4.900 0 0.000
150.00 1025.00 99.928175 0.0000000000000000 0.000000 225.375851 -1184787.331503 32.416696 -39.100638 1098.637074 115.999869 -12.538 -2.000 0.000000 3.082614 4.900 0 0.000
150.00 1020.00 99.927868 0.0000000000000000 0.000000 224.920206 -1185371.880022 32.410938 -39.100103 1096.884071 115.933617 -12.611 -2.000 0.000000 3.083153 4.900 0 0.000
150.00 1015.00 99.927563 0.0000000000000000 0.000000 224.462586 -1185956.726262 32.405163 -39.144529 1106.833926 116.259506 -12.684 -2.000 0.000000 3.083693 4.900 0 0.000
150.00 1010.00 99.927258 0.0000000000000000 0.000000 224.002458 -1186542.533696 32.399353 -39.144053 1105.129053 116.194226 -12.758 -2.000 0.000000 3.084236 4.900 0 0.000
150.00 1005.00 99.925921 0.0000000000000000 0.000000 223.519509 -1187135.744479 32.393484 -39.162083 1104.419571 116.121363 -12.833 -2.000 0.000000 3.084754 4.900 0 0.000
150.00 1000.00 99.917456 0.0000000000000000 0.000000 222.891376 -1187777.339304 32.387195 -39.304019 1110.329026 115.999781 -12.908 -2.000 0.000000 3.085091 4.900 0 0.000
